leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:austin-tx:brookfield-residential-texas-homes-llc,austin-tx,Brookfield Residential Texas Homes LLC,,,,,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:m-i-homes-of-austin-llc,austin-tx,"M-I Homes of Austin, LLC",,,,William Peckman,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:perry-homes-llc,austin-tx,Perry Homes LLC,,,,Mark Moffatt,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:icb-construction-llc,austin-tx,"ICB Construction, LLC",,,,Perry Hunt,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:kb-home,austin-tx,KB Home,,,,Sondra Allison,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:taylor-morrison-of-texas-inc,austin-tx,"Taylor Morrison of Texas, Inc.",,,,Marla Lamb,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:d-r-horton-homes,austin-tx,D R Horton Homes,,,,Mark Ferguson,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:milestone-community-builders-llc,austin-tx,"Milestone Community Builders, LLC",,,,Garrett Martin,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:david-weekley-homes,austin-tx,David Weekley Homes,,,,Robin Campbell,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:new-home-co,austin-tx,New Home Co,,,,Jeremiah Marchand-Simons,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:meritage-homes-corp,austin-tx,Meritage Homes Corp,,,,Kim Kidd,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:paradisa-homes-llc,austin-tx,"Paradisa Homes, LLC",,,,Todd Bennett,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:highland-homes,austin-tx,Highland Homes,,,,Wayne Woodward,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:joseph-design-build,austin-tx,Joseph Design Build,,,,Gabe Joseph,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:eastside-construction-company-llc,austin-tx,Eastside Construction Company LLC,,,,Jonathan Rocha,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:pecan-valley-homes-llc,austin-tx,Pecan Valley Homes LLC,,,,Dale Thornton,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:hoch-construction-llc,austin-tx,Hoch Construction LLC.,,,,Nick Hoch,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:canedo-builders,austin-tx,Canedo Builders,,,,Guido Canedo,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:austin-habitat-for-humanity,austin-tx,AUSTIN HABITAT FOR HUMANITY,,,,Claire Walpole,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:pacesetter-homes-llc,austin-tx,"Pacesetter Homes, LLC",,,,Tom Lynch,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:pulte-homes-of-texas-l-p-dba-pulte-group,austin-tx,Pulte Homes of Texas L.P. DBA Pulte Group,,,,Brad Peterman,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:gfo-home,austin-tx,GFO Home,,,,Kirsti Vreeman,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:newmark-homes-austin-llc,austin-tx,Newmark Homes Austin LLC,,,,Casandra Luke,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:texas-home-redevelopment-llc,austin-tx,"Texas Home Redevelopment, LLC",,,,Stuart Carr,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:prominence-homes-llc-main,austin-tx,"Prominence Homes, LLC ***MAIN",,,,Bryan Rome,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:ash-creek-homes-inc,austin-tx,"Ash Creek Homes, Inc.",,,,,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:st-stephens-build-llc,austin-tx,"St. Stephens Build, LLC",,,,Sandra Wilm,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:awhiddon-construction-llc,austin-tx,"AWhiddon Construction, LLC",,,,Alex Whiddon,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:desert-construction-llc,austin-tx,Desert Construction LLC,,,,Terry Peckham,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:nalle-custom-homes,austin-tx,Nalle Custom Homes,,,,Owen Nalle,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:precise-custom-homes-inc,austin-tx,Precise Custom Homes Inc.,,,,Danny Olivarez,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:rivendale-homes-texas-llc-pavillian-communities-texas-llc,austin-tx,"Rivendale Homes Texas LLC/ Pavillian Communities Texas, LLC",,,,Chris Peterson,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:jd-davis-green-construction-llc,austin-tx,JD Davis Green Construction LLC,,,,James Davis,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:redbud-development-group-llc,austin-tx,Redbud Development Group LLC,,,,Ryan Walker,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:urban-intown-homes-llc,austin-tx,Urban Intown Homes LLC,,,,Dawn Bayarena,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:atx-luxury-builders,austin-tx,ATX Luxury Builders,,,,Jake Friedman,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:austin-tx:blue-wizard-homes-llc,austin-tx,Blue Wizard Homes LLC,,,,Reynaldo Trejo,"Public Austin Socrata permit signal only. Call builder to capture exact Austin-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
