leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:san-antonio-tx:lennar-homes,san-antonio-tx,LENNAR HOMES,,,,LENNAR HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:kb-home,san-antonio-tx,KB HOME,,,,KB HOME,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:continental-homes-of-tx-lp,san-antonio-tx,"CONTINENTAL HOMES OF TX., LP",,,,"CONTINENTAL HOMES OF TX., LP","Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:century-communities,san-antonio-tx,Century Communities,,,,Century Communities,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:perry-homes,san-antonio-tx,PERRY HOMES,,,,PERRY HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:kb-home-lone-star-inc,san-antonio-tx,KB HOME Lone Star Inc,,,,KB HOME Lone Star Inc,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:m-i-homes-of-san-antonio-llc,san-antonio-tx,"M/I HOMES OF SAN ANTONIO, LLC",,,,"M/I HOMES OF SAN ANTONIO, LLC","Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:ahv-communities,san-antonio-tx,AHV Communities,,,,AHV Communities,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:brightland-homes,san-antonio-tx,Brightland Homes,,,,Brightland Homes,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:lgi-homes,san-antonio-tx,LGI HOMES,,,,LGI HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:starlight-homes-cw-bsbl-llc,san-antonio-tx,"STARLIGHT HOMES, CW-BSBL, LLC",,,,"STARLIGHT HOMES, CW-BSBL, LLC","Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:chesmar-homes,san-antonio-tx,CHESMAR HOMES,,,,CHESMAR HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:meritage-homes,san-antonio-tx,Meritage Homes,,,,Meritage Homes,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:habitat-for-humanity-of-san-antonio-inc,san-antonio-tx,"Habitat for Humanity of San Antonio, Inc",,,,"Habitat for Humanity of San Antonio, Inc","Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:davidson-homes-llc,san-antonio-tx,Davidson Homes LLC,,,,Davidson Homes LLC,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:landmark-construction-management-llc,san-antonio-tx,LANDMARK CONSTRUCTION MANAGEMENT LLC,,,,LANDMARK CONSTRUCTION MANAGEMENT LLC,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:first-america-homes,san-antonio-tx,First America Homes,,,,First America Homes,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:scott-felder-homes,san-antonio-tx,SCOTT FELDER HOMES,,,,SCOTT FELDER HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:highland-homes,san-antonio-tx,HIGHLAND HOMES,,,,HIGHLAND HOMES,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:leca-construction-llc,san-antonio-tx,"LECA CONSTRUCTION, LLC",,,,"LECA CONSTRUCTION, LLC","Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:san-antonio-tx:peppers-residential-construction,san-antonio-tx,Peppers Residential Construction,,,,Peppers Residential Construction,"Public San Antonio permit signal only. Call builder to capture exact San Antonio-area land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
