leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:maricopa-az:shalc-gc-shea-homes,maricopa-az,SHALC GC / Shea Homes,602-505-9961 602-505-9961 480-454-2225,kim.soffey@sheahomes.com,,SHALC GC / Shea Homes,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",100
buyer:maricopa-az:soundbuilt-homes-arizona-llc,maricopa-az,Soundbuilt Homes Arizona LLC,253-377-4947 253-848-0820,brett@soundbuilthomes.com,,Soundbuilt Homes Arizona LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",88
buyer:maricopa-az:mattamy-arizona-llc,maricopa-az,Mattamy Arizona LLC,,,,Mattamy Arizona LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",68
buyer:maricopa-az:better-builders-llc,maricopa-az,Better Builders LLC,602-819-0653,andreszepedaloepz@gmail.com,,Better Builders LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:fulton-homes-corporation,maricopa-az,Fulton Homes Corporation,480-753-6789 480-753-6789 480-753-6789,jgburke@fultonhomes.com,,Fulton Homes Corporation,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:galaxy-construction-and-remodeling-llc,maricopa-az,Galaxy Construction And Remodeling LLC,623-776-5954 623-776-5954,galaxyconstructionaz@gmail.com,,Galaxy Construction And Remodeling LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:garcia-industries-inc,maricopa-az,Garcia Industries Inc,562-480-7019,codyg@gafloorcare.com,,Garcia Industries Inc,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:interlachen-development,maricopa-az,Interlachen Development,503-939-9195,Bergcat@gmail.com,,Interlachen Development,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:lennar-arizona-llc,maricopa-az,Lennar Arizona LLC,480-201-3748 480-201-3748,sheridan.lee@lennar.com,,Lennar Arizona LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:silver-homes-construction-llc,maricopa-az,Silver Homes Construction LLC,602-250-0589 602-817-8919,silverhomesaz@gmail.com,,Silver Homes Construction LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",70
buyer:maricopa-az:adair-homes-of-arizona-inc,maricopa-az,Adair Homes of Arizona Inc,541-316-0955 541-316-0955,permits-southwest@adairhomes.com,,Adair Homes of Arizona Inc,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:americas-dwelling-llc,maricopa-az,Americas Dwelling LLC,818-903-5410,tony@americasdwelling.com,,Americas Dwelling LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:avigo-development-llc,maricopa-az,Avigo Development LLC,480-235-6800,michael@avigodevelopment.com,,Avigo Development LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:better-builderz-llc,maricopa-az,Better Builderz LLC,602-335-9755,andreszepedalopez@gmail.com,,Better Builderz LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:c-lee-construction-llc,maricopa-az,C Lee Construction LLC,602-989-3399 317-690-5909 317-690-5909,c.leeconstruction23@gmail.com,,C Lee Construction LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:cb-remodeling-llc,maricopa-az,CB Remodeling LLC,602-809-1690,,,CB Remodeling LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:courtland-communities,maricopa-az,Courtland Communities,602-296-3200 602-296-3200,jrodriguez@courtlandcommunities.com,,Courtland Communities,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:craft-development-llc,maricopa-az,Craft Development LLC,480-381-3534,joshfunk381@gmail.com,,Craft Development LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:elliott-homes-inc,maricopa-az,Elliott Homes Inc,480-831-5691,J.KLEM@ELLIOTHOMESAZ.COM,,Elliott Homes Inc,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:hoza-construction-llc,maricopa-az,Hoza Construction LLC,480-233-9590 480-233-9590 480-233-9590,hozaconstruction@gmail.com,,Hoza Construction LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:nailed-it-construction-consulting-llc,maricopa-az,Nailed It Construction Consulting LLC,602-550-6907 602-550-6907 602-550-6907,jensenoffice@aol.com,,Nailed It Construction Consulting LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:platinum-builders-group,maricopa-az,Platinum Builders Group,623-826-9791 602-579-9943,office@platinumbuildersaz.com,,Platinum Builders Group,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:probuilds-llc,maricopa-az,Probuilds LLC,623-298-8799 801-687-7732,Robert@probuildsllc.com,,Probuilds LLC,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:rc-opat-construction,maricopa-az,RC Opat Construction,623-695-1666 623-695-1666,Rcopatconstruction@gmail.com,,RC Opat Construction,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:shangri-la-custom-homes,maricopa-az,Shangri La Custom Homes,602-738-0264,shangrila1rl@aol.com,,Shangri La Custom Homes,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:tld-builders,maricopa-az,TLD Builders,623-772-0075 602-910-4484 623-772-0075,tlkftdavis@msn.com,,TLD Builders,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:villegas-construction-inc,maricopa-az,Villegas Construction Inc,"623-935-4430 , 623-935-4430",",",,Villegas Construction Inc,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
buyer:maricopa-az:westcraft,maricopa-az,Westcraft,623-414-0653,info@azwestcraft.com,,Westcraft,"Public Maricopa County weekly residential building permit signal only. Call builder to capture exact Phoenix/Maricopa buy box, max price, close speed, utility/road requirements, lot size, jurisdiction preferences, and deal killers.",64
