builderName,island/market,website,contactUrl,phone,email,evidenceUrl,evidenceType,activitySignal,confidence,notes,sourceBatch,route
Gentry Homes,Oahu: Ewa Beach/Kapolei/Kalaeloa,https://www.gentryhawaii.com/,https://www.gentryhawaii.com/contact/,808-447-8430; 808-599-5558; 808-685-0811; 808-689-5840,CustomerService@GentryHawaii.com,https://www.gentryhawaii.com/,builder website,Official site markets active Oahu communities; contact page live with sales/customer-service phones,High,LandFlip OS local search: no exact Gentry mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Castle & Cooke Hawai‘i,Oahu: Mililani/Koa Ridge/Central Oahu,https://www.castlecookehawaii.com/,https://www.castlecookehawaii.com/Page/Contact,,hawaiiinfo@castlecooke.com,https://www.castlecookehawaii.com/,developer website,Official Castle & Cooke Hawaii site/contact live; Koa Ridge/new-home community evidence on site,High,LandFlip OS local search only found unrelated Florida Castle mention; not likely existing Hawaii row.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
D.R. Horton Hawaii,Oahu: Hoopili/Ewa/Kapolei area,https://www.drhorton.com/hawaii/oahu,https://www.drhorton.com/contact-us-page,,,https://www.drhorton.com/hawaii/oahu,national builder website,Official D.R. Horton Oahu homes-for-sale page live,High,LandFlip OS local search: no D.R. Horton mention found. Public site uses lead forms rather than email.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Kobayashi Group,Oahu: Honolulu/Kakaako/Luxury & affordable residential,https://www.kobayashi-group.com/,https://www.kobayashi-group.com/contact/,+1.808.524.1508,info@kobayashi-group.com,https://www.kobayashi-group.com/contact/,developer website,Official contact page live; residential project categories on site,High,LandFlip OS local search: no Kobayashi mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Armstrong Builders LLC,Oahu: Honolulu/islandwide residential + development,https://www.armstrongbuilders.com/,https://www.armstrongbuilders.com/contact-us/,(808) 848-2484; (808) 842-0527,info@armstrongbuilders.com,https://www.armstrongbuilders.com/contact-us/,builder website,Official contact page live; established Hawaii residential builder/developer site,High,LandFlip OS local search: no Armstrong mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Graham Builders,Oahu: Honolulu/islandwide custom homes/ADU/remodel,https://www.grahambuilders.com/,https://www.grahambuilders.com/contact-us/,808.593.2808; 808.591.9294,ClientCare@grahambuilders.com,https://www.grahambuilders.com/contact-us/,builder website,Official contact page live; custom home builder site active,High,LandFlip OS local search: no Graham Builders mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Homeworks Construction,Oahu: Honolulu/islandwide design-build homes,https://www.homeworkshawaii.com/,https://www.homeworkshawaii.com/contact/,(808) 955-2777; (808) 955-2778,,https://www.homeworkshawaii.com/,builder website,Official site live via Googlebot UA; contact phones present,Medium,Site returned HTTP 406 to normal UA but rendered with Googlebot UA; no email found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Mokulua High Performance Builder,Oahu: Kailua/Windward/Oahu custom homes,https://mokuluahpb.com/,https://mokuluahpb.com/contact-us,808-263-9663,mike@mokuluahpb.com,https://mokuluahpb.com/contact-us,builder website,Official Squarespace contact page live; Kailua/Windward custom/high-performance builder positioning,High,Email/phone from public contact page.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Barker Kappelle Construction,Oahu/Hawaii: custom residential general contractor,https://barkerkappelle.com/,https://barkerkappelle.com/,808-664-9212,contact@barkerkappelle.com,https://barkerkappelle.com/,builder website,Official site live; Hawaii-based GC with residential/custom-home portfolio signal,Medium,Business-facing email/phone on homepage.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Atlas Construction,Oahu: Honolulu custom homes/remodeling,https://atlasconstruction808.com/,https://atlasconstruction808.com/contact-us/,(808) 951-7500; (808) 951-9500,,https://atlasconstruction808.com/contact-us/,builder website,Official contact page live; title states new custom home construction in Honolulu,High,No business email found on public page.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
All Things New,Oahu: Kapolei/Honolulu County custom homes,https://www.atnhawaii.com/,https://www.atnhawaii.com/contact,808-230-3385,info@atnhawaii.com; allthingsnewhi@gmail.com,https://www.atnhawaii.com/contact,builder website,Official contact page live; page title markets new home builders/custom construction in Kapolei/Honolulu County,High,Business-facing emails from public site.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
