builderName,island/market,website,contactUrl,phone,email,evidenceUrl,evidenceType,activitySignal,confidence,notes,sourceBatch,route
Gentry Homes,Oahu: Ewa Beach/Kapolei/Kalaeloa,https://www.gentryhawaii.com/,https://www.gentryhawaii.com/contact/,808-447-8430; 808-599-5558; 808-685-0811; 808-689-5840,CustomerService@GentryHawaii.com,https://www.gentryhawaii.com/,builder website,Official site markets active Oahu communities; contact page live with sales/customer-service phones,High,LandFlip OS local search: no exact Gentry mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Kobayashi Group,Oahu: Honolulu/Kakaako/Luxury & affordable residential,https://www.kobayashi-group.com/,https://www.kobayashi-group.com/contact/,+1.808.524.1508,info@kobayashi-group.com,https://www.kobayashi-group.com/contact/,developer website,Official contact page live; residential project categories on site,High,LandFlip OS local search: no Kobayashi mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Armstrong Builders LLC,Oahu: Honolulu/islandwide residential + development,https://www.armstrongbuilders.com/,https://www.armstrongbuilders.com/contact-us/,(808) 848-2484; (808) 842-0527,info@armstrongbuilders.com,https://www.armstrongbuilders.com/contact-us/,builder website,Official contact page live; established Hawaii residential builder/developer site,High,LandFlip OS local search: no Armstrong mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Graham Builders,Oahu: Honolulu/islandwide custom homes/ADU/remodel,https://www.grahambuilders.com/,https://www.grahambuilders.com/contact-us/,808.593.2808; 808.591.9294,ClientCare@grahambuilders.com,https://www.grahambuilders.com/contact-us/,builder website,Official contact page live; custom home builder site active,High,LandFlip OS local search: no Graham Builders mention found.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Mokulua High Performance Builder,Oahu: Kailua/Windward/Oahu custom homes,https://mokuluahpb.com/,https://mokuluahpb.com/contact-us,808-263-9663,mike@mokuluahpb.com,https://mokuluahpb.com/contact-us,builder website,Official Squarespace contact page live; Kailua/Windward custom/high-performance builder positioning,High,Email/phone from public contact page.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
All Things New,Oahu: Kapolei/Honolulu County custom homes,https://www.atnhawaii.com/,https://www.atnhawaii.com/contact,808-230-3385,info@atnhawaii.com; allthingsnewhi@gmail.com,https://www.atnhawaii.com/contact,builder website,Official contact page live; page title markets new home builders/custom construction in Kapolei/Honolulu County,High,Business-facing emails from public site.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Ko‘olau Builders Inc.,Oahu: Windward/Kailua/Kaneohe custom homes,https://koolaubuilders.com/,https://koolaubuilders.com/contact-us/,808.349.4539,info@koolaubuilders.com,https://koolaubuilders.com/contact-us/,builder website,Official contact page live; Oahu builder site active,High,Public business email/phone.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
HPM Homes / HPM Building Supply,Hawaii County / Hilo-Kona-Waimea-Keaau,https://www.hpmhawaii.com/hpm-homes,https://www.hpmhawaii.com/contact,(808) 935-0875,hilo.hdc@hpmhawaii.com; kona.hdc@hpmhawaii.com; waimea.hdc@hpmhawaii.com,https://www.hpmhawaii.com/hpm-homes,Company website,"HPM Homes page says packaged home plans and home planning consultants; sitemap/location pages show Hilo, Kona, Waimea, Keaau operations and public emails",high,Supplier/home-planning prospect rather than GC builder; strong Big Island new-home package signal.,big_island_hawaii_county_home_builders.csv,buyerValidation
Volk Pacific,Maui/Lanai/Molokai possible outer-island luxury,https://www.volkpacific.com/,https://www.volkpacific.com/contact,+1 808-879-8866,team@volkpacific.com,https://www.volkpacific.com/projects,portfolio/projects,Projects page and luxury custom vacation homes copy active on site,High,Yahoo result for Lanai/Molokai custom home queries; verify exact island fit before outreach.,hawaii_builders_prospects.csv,buyerValidation
Boyd Construction,Maui,https://www.boydmaui.com/,https://www.boydmaui.com/contact,(808) 283-8722,info@boydmaui.com,https://www.boydmaui.com/,custom/luxury builder website,Yahoo result title: Luxury Custom Home Builder Maui; contact page verified,High,Wix site; filtered out non-business Sentry emails.,hawaii_builders_prospects.csv,buyerValidation
McVey Design + Build,Kauai,https://www.mcveydesignandbuild.com/,https://www.mcveydesignandbuild.com/contact,(808) 822-0073; (808) 635-1386,gabe@mcveydesignandbuild.com,https://www.mcveydesignandbuild.com/projects,projects/portfolio,Luxury Custom Home Builder on Kauai; custom home projects page,High,Direct email and phones on contact/about pages.,hawaii_builders_prospects.csv,buyerValidation
Voyager Construction,Kauai,https://www.voyagerhi.com/,https://www.voyagerhi.com/contact-8,808.315.0410,marketing@voyagerhawaii.com,https://www.voyagerhi.com/copy-2-of-completed-projects,under-construction/projects,Site includes Completed Projects and Under Construction navigation,High,Custom Home Builder/General Contractor Kauai.,hawaii_builders_prospects.csv,buyerValidation
Freitas Building Company,Kauai,https://fbcbuilders.com/,https://fbcbuilders.com/contact-us,808-400-3232,fbcbuilders@yahoo.com,https://fbcbuilders.com/gallery,new construction/gallery,Custom building/remodeling on Kauai; New Construction/Gallery navigation,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
Antony Homes,Kauai,https://www.antonyhomes.com/hawaii,https://www.antonyhomes.com/hawaii,808-652-4011,info@antonyhomes.com; jim@antonyhomes.com,https://www.antonyhomes.com/hawaii,Hawaii custom-home page,"Custom Home Builder in Kauai, Hawaii page; press/media/team pages",High,Public phone/emails on site.,hawaii_builders_prospects.csv,buyerValidation
Silliman Construction,Kauai,https://sillimanconstruction.com/,https://sillimanconstruction.com/contact/,808-333-9085,info@sillimanconstruction.com,https://sillimanconstruction.com/projects/,projects portfolio,Kauai Custom Homes Home Builder; Projects page,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
Brian Andrew Construction,Kauai,https://www.brianandrewconstruction.com/,https://www.brianandrewconstruction.com/,(808) 271-4342,Brian@BrianAndrewConstruction.com,https://www.brianandrewconstruction.com/projects,projects portfolio,Projects include Kukuiula Modern Resort/Kula Makai homes,High,Contact details on site/home footer.,hawaii_builders_prospects.csv,buyerValidation
Williams Construction Kauai,Kauai,https://www.williamsconstructionkauai.com/,https://www.williamsconstructionkauai.com/contact,808-822-2456,questions@williamsconstructionkauai.com,https://www.williamsconstructionkauai.com/about,selected works/services,Residential architects and builders; selected works/services/about,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
