leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:dorchester-sc:lennar-carolinas,dorchester-sc,Lennar Carolinas,,,,Lennar Carolinas,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:true-homes,dorchester-sc,True Homes,,,,True Homes,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:center-park-builder-services,dorchester-sc,Center Park Builder Services,,,,Center Park Builder Services,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:dr-horton,dorchester-sc,DR Horton,,,,DR Horton,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:nvr-inc-dba-ryan-homes,dorchester-sc,NVR INC dba RYAN HOMES,,,,NVR INC dba RYAN HOMES,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:eastwood-construction-partners-llc-subdivision,dorchester-sc,Eastwood Construction Partners LLC (subdivision),,,,Eastwood Construction Partners LLC (subdivision),"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:carter-construction-inc,dorchester-sc,"CARTER CONSTRUCTION, INC.",,,,"CARTER CONSTRUCTION, INC.","Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:toby-j-wessel-new-beginnings-construction,dorchester-sc,Toby J Wessel / New Beginnings Construction,,,,Toby J Wessel / New Beginnings Construction,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",100
buyer:dorchester-sc:kh-carolinas-homes-llc,dorchester-sc,KH Carolinas Homes LLC,,,,KH Carolinas Homes LLC,"Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",93
buyer:dorchester-sc:alpha-omega-construction-group-inc,dorchester-sc,"ALPHA OMEGA CONSTRUCTION GROUP, INC.",,,,"ALPHA OMEGA CONSTRUCTION GROUP, INC.","Public Dorchester County permit signal only. Call builder to capture Berkeley/Dorchester/Charleston-edge lot buy box, flood-zone constraints, utility/access requirements, max dirt price, close speed, and assignment-title tolerance before seller sourcing.",88
