leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:lehigh:precision-gulf-homes,lehigh,Precision Gulf Homes,239-555-0100,maya@precisiongulf.example,https://precisiongulf.example,Maya Chen,"0.23-0.32 acre Lehigh infill lots, paved road, no wetlands, $42k max",93
buyer:lehigh:evergreen-land-fund,lehigh,Evergreen Land Fund,305-555-0108,sam@evergreenland.example,https://evergreenland.example,Sam Patel,Backup buyer; buys only at 60-70% of market value.,55
buyer:lehigh:career-financial-corp,lehigh,CAREER FINANCIAL CORP,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,100
buyer:lehigh:land-trust-partners-of-florida,lehigh,LAND TRUST PARTNERS OF FLORIDA,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,100
buyer:lehigh:fundvate-wo2-llc,lehigh,FUNDVATE WO2 LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,100
buyer:lehigh:florida-holding-gn-llc,lehigh,FLORIDA HOLDING GN LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,89
buyer:lehigh:ic-development-llc,lehigh,IC DEVELOPMENT LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,89
buyer:lehigh:j-l-vision-homes-inc,lehigh,J & L VISION HOMES INC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,89
buyer:lehigh:adams-homes-of-northwest-flori,lehigh,ADAMS HOMES OF NORTHWEST FLORI,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,82
buyer:lehigh:arenosa-group-llc,lehigh,ARENOSA GROUP LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,75
buyer:lehigh:brilliant-funding-llc,lehigh,BRILLIANT FUNDING LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,75
buyer:lehigh:rhino-investment-of-florida-in,lehigh,RHINO INVESTMENT OF FLORIDA IN,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,75
buyer:lehigh:lehigh-investments-2-llc,lehigh,LEHIGH INVESTMENTS 2 LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,68
buyer:lehigh:millrose-properties-florida-ll,lehigh,MILLROSE PROPERTIES FLORIDA LL,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,68
buyer:lehigh:a5-international-properties-ll,lehigh,A5 INTERNATIONAL PROPERTIES LL,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:brangus-cattle-llc,lehigh,BRANGUS CATTLE LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:bravo-breeze-investments-llc,lehigh,BRAVO BREEZE INVESTMENTS LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:doce-realty-group-llc,lehigh,DOCE REALTY GROUP LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:dorada-joint-venture-llc,lehigh,DORADA JOINT VENTURE LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:florida-signature-homes-llc,lehigh,FLORIDA SIGNATURE HOMES LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:hl-venture-capital-llc,lehigh,HL VENTURE CAPITAL LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:holiday-builders-inc,lehigh,HOLIDAY BUILDERS INC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:layla-resi-llc,lehigh,LAYLA RESI LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:mf-qoz-fund-llc,lehigh,MF QOZ FUND LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,61
buyer:lehigh:1076-sw-158th-way-llc,lehigh,1076 SW 158TH WAY LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,54
buyer:lehigh:aikido-property-group-llc,lehigh,AIKIDO PROPERTY GROUP LLC,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,54
buyer:lehigh:allied-realty-10,lehigh,ALLIED REALTY 10,,,,,Public builder signal from Lehigh Acres parcels with 2023+ actual year built; call to confirm exact buy box before relying on this buyer.,54
