leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:nashville-edge-tn:nvr-inc-t-a-ryan-homes,nashville-edge-tn,"NVR, INC. T/A RYAN HOMES",,,,"NVR, INC. T/A RYAN HOMES","Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:legacy-south-builders-llc,nashville-edge-tn,LEGACY SOUTH BUILDERS LLC,,,,LEGACY SOUTH BUILDERS LLC,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:beazer-homes-llc,nashville-edge-tn,BEAZER HOMES LLC,,,,BEAZER HOMES LLC,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:meritage-homes-of-tennessee-inc,nashville-edge-tn,MERITAGE HOMES OF TENNESSEE INC,,,,MERITAGE HOMES OF TENNESSEE INC,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:regent-homes,nashville-edge-tn,REGENT HOMES,,,,REGENT HOMES,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:horton-d-r-inc,nashville-edge-tn,"HORTON, D R INC",,,,"HORTON, D R INC","Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:meritage-homes-becky-gilmore,nashville-edge-tn,Meritage Homes Becky Gilmore,,,,Meritage Homes Becky Gilmore,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:unique-management-development-construction-llc,nashville-edge-tn,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,,,,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:lennar-homes,nashville-edge-tn,Lennar Homes,,,,Lennar Homes,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
buyer:nashville-edge-tn:drees-premier-homes-inc,nashville-edge-tn,DREES PREMIER HOMES INC,,,,DREES PREMIER HOMES INC,"Public Metro Nashville/Davidson County residential new-building permit signal only. Call builder to capture exact Nashville-edge land buy box, lot size, max dirt price, close speed, utilities/access constraints, slope/flood/infill deal killers, and acquisitions contact before seller sourcing.",100
