leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:raleigh-nc:lennar-carolinas-llc,raleigh-nc,"LENNAR CAROLINAS, LLC",9194663318,LennarPermits@lennar.com,,"LENNAR CAROLINAS, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:d-r-horton-inc,raleigh-nc,"D.R. Horton, Inc.",9194602933,aaerving@drhorton.com,,"D.R. Horton, Inc.","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:kb-home-raleigh-durham-inc,raleigh-nc,KB Home Raleigh-Durham Inc.,9197687986,rcavalear@kbhome.com,,KB Home Raleigh-Durham Inc.,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:toll-brothers,raleigh-nc,Toll Brothers,(984) 269-2573,ncrpermits@tollbrothers.com,,Toll Brothers,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:stanley-martin-homes-llc,raleigh-nc,"Stanley Martin Homes, LLC",9199778760,georgew@stanleymartin.com,,"Stanley Martin Homes, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:front-street-construction-services-llc,raleigh-nc,"Front Street Construction Services, LLC",(919) 256-3390,craig@eyccompanies.com,,"Front Street Construction Services, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:meritage-homes-of-the-carolinas-inc,raleigh-nc,"Meritage Homes of the Carolinas, Inc.",9199957469,raleigh.permits@meritagehomes.com,,"Meritage Homes of the Carolinas, Inc.","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:m-i-homes-of-raleigh,raleigh-nc,M I HOMES OF RALEIGH,,nbattistel@mihomes.com,,M I HOMES OF RALEIGH,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:eastwood-homes-of-raleigh-llc,raleigh-nc,"Eastwood Homes of Raleigh, LLC",919-758-8208,eastwoodpermits@eastwoodhomes.com,,"Eastwood Homes of Raleigh, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:murdock-gannon-construction-i,raleigh-nc,"MURDOCK GANNON CONSTRUCTION, I",9193681151,krhbaur@yahoo.com,,"MURDOCK GANNON CONSTRUCTION, I","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:redeeming-development-group-llc,raleigh-nc,REDEEMING DEVELOPMENT GROUP LLC.,,CHRIS@RDGDESIGNBUILD.COM,,REDEEMING DEVELOPMENT GROUP LLC.,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",100
buyer:raleigh-nc:legacy-custom-homes,raleigh-nc,LEGACY CUSTOM HOMES,9197813800,ward@legacycustomhomes.com,,LEGACY CUSTOM HOMES,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",96
buyer:raleigh-nc:haven-build,raleigh-nc,Haven Build,(603) 440-5971,craigwright@havendesignbuild.org,,Haven Build,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",86
buyer:raleigh-nc:homes-by-thadd,raleigh-nc,HOMES BY THADD,9196697875,thaddroberts1@gmail.com,,HOMES BY THADD,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",86
buyer:raleigh-nc:caruso-homes,raleigh-nc,Caruso Homes,,ncpermits@carusohomes.com,,Caruso Homes,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",81
buyer:raleigh-nc:smith-douglas-homes,raleigh-nc,SMITH DOUGLAS HOMES,9195949981,ral-permitting@smithdouglas.com,,SMITH DOUGLAS HOMES,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",81
buyer:raleigh-nc:djf-builders-inc,raleigh-nc,"DJF BUILDERS, INC.",9193631700,info@djfbuilders.com,,"DJF BUILDERS, INC.","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",76
buyer:raleigh-nc:homes-by-dickerson-inc,raleigh-nc,HOMES BY DICKERSON INC,(919) 805-5902,operations@homesbydickerson.com,,HOMES BY DICKERSON INC,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",76
buyer:raleigh-nc:raleigh-custom-homes,raleigh-nc,RALEIGH CUSTOM HOMES,9193951529,TIM@RALEIGHCUSTOMHOMES.NET,,RALEIGH CUSTOM HOMES,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",76
buyer:raleigh-nc:boyd-builders-consulting,raleigh-nc,Boyd Builders Consulting,9194224647,boydbuildersllc@gmail.com,,Boyd Builders Consulting,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",71
buyer:raleigh-nc:built-right-homes-llc,raleigh-nc,"Built Right Homes, LLC",(919) 427-3629,builtrighthomesnc@gmail.com,,"Built Right Homes, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",71
buyer:raleigh-nc:m-i-homes,raleigh-nc,M/I Homes,,mazcona@mihomes.com,,M/I Homes,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",71
buyer:raleigh-nc:meritage-homes,raleigh-nc,Meritage Homes,9197270392,ashley.joyner@meritagehomes.com,,Meritage Homes,"Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",71
buyer:raleigh-nc:ravenscape-construction-llc,raleigh-nc,"Ravenscape Construction, LLC",(919) 906-2208,ravenscapeconstruction@gmail.com,,"Ravenscape Construction, LLC","Public Raleigh/Wake permit signal only. Call builder to capture exact Raleigh-Durham land buy box, max price, close speed, utility/access constraints, and kill criteria before treating as validated demand.",71
